KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,18/3/2024 3:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/3/2024,9:35:19,0,<None>,0.72,2.86,56228.7,22.903,0.07,0.03,51413.1,93.3,93,5.91,205.5,33.266,34,51890.7,1.17,3.19,33729,72.96,0,1.174,8.21,-95.9,29.377,22.886,-14.64707,145.4474,4.1,0,12,757.9
20/3/2024,9:35:20,0,<None>,0.98,3.9,56321,22.902,0.19,0.07,51498.8,93,92.6,5.89,205.6,33.266,34.06,51977,1.5,4.12,33785,158.63,0,1.174,8.21,-95.9,29.376,22.892,-14.64707,145.4474,4.3,0,12,758
20/3/2024,9:35:21,0,<None>,1.18,4.71,56393.4,22.903,0.35,0.12,51566.5,92.7,92.3,5.87,205.8,33.269,34.11,52045.2,1.81,4.98,33829,136.7,0,1.174,8.21,-95.8,29.374,22.914,-14.64707,145.4474,4.3,0,12,758
20/3/2024,9:35:22,0,<None>,1.27,5.09,56437.2,22.902,0.41,0.14,51607.7,92.4,92,5.85,205.9,33.268,34.15,52086.7,1.92,5.28,33856,125.75,0,1.174,8.21,-95.8,29.373,22.908,-14.64707,145.4474,4.3,0,12,758
20/3/2024,9:35:23,0,<None>,1.42,5.68,56441.9,22.9,0.44,0.15,51612.1,92.1,91.8,5.83,206.1,33.265,34.15,52091.2,2.12,5.85,33859,89.91,0,1.174,8.21,-95.7,29.373,22.892,-14.64707,145.4474,4.4,0,12,758
20/3/2024,9:35:24,0,<None>,0.4,1.59,56442,22.888,0.46,0.16,51612,91.9,91.5,5.82,206.2,33.248,34.15,52091.1,1.49,4.1,33859,100.01,0,1.174,8.21,-95.7,29.373,22.768,-14.64707,145.4474,4.6,0,12,757.9
20/3/2024,9:35:25,0,<None>,0.03,0.12,56443.5,22.849,0.45,0.16,51613.2,91.7,91.3,5.8,206.3,33.192,34.15,52092.2,0.16,0.37,33860,12.1,0,1.174,8.21,-95.6,29.373,22.452,-14.64707,145.4474,4.3,0,12,757.9
20/3/2024,9:35:26,0,<None>,0.03,0.12,56444.3,21.632,0.42,0.15,51613.6,91.5,91.1,5.79,206.5,31.424,34.15,52092.7,-0.05,-0.23,33860,1.62,0,1.174,8.21,-95.6,29.374,21.933,-14.64707,145.4474,4.2,0,12,758
20/3/2024,9:35:27,0,<None>,0.05,0.21,56444.3,20.822,0.39,0.13,51613.5,91.4,91,5.78,206.6,30.247,34.15,52092.6,0.62,1.66,33860,0.96,0,1.174,8.21,-95.5,29.374,21.215,-14.64707,145.4474,4.2,0,12,757.9
20/3/2024,9:35:28,0,<None>,0.05,0.21,56443.9,19.915,0.37,0.13,51613.2,91.3,90.9,5.78,206.7,28.929,34.15,52092.4,0.38,0.98,33860,1,0,1.174,8.21,-95.5,29.374,20.402,-14.64706,145.4474,4.1,0,12,758
20/3/2024,9:35:29,0,<None>,0.05,0.21,56444.8,19.473,0.35,0.12,51614.1,91.2,90.9,5.77,206.9,28.287,34.15,52093.2,0.25,0.62,33861,0.89,0,1.174,8.21,-95.5,29.374,19.357,-14.64706,145.4473,4.2,0,12,758
20/3/2024,9:35:30,0,<None>,0.04,0.15,56446.2,18.035,0.33,0.12,51615.5,91.2,90.8,5.77,207,26.197,34.15,52094.6,0.23,0.55,33862,0.81,0,1.174,8.21,-95.4,29.373,18.46,-14.64706,145.4473,4.4,0,12,757.9
20/3/2024,9:35:31,0,<None>,0.03,0.13,56436.3,17.13,0.34,0.12,51606.5,91.2,90.8,5.77,207.1,24.883,34.15,52085.6,0.14,0.32,33856,0.8,0,1.174,8.2,-95.4,29.373,17.639,-14.64706,145.4474,4.5,0,12,758
20/3/2024,9:35:32,0,<None>,0.03,0.13,56389.7,16.335,0.35,0.12,51563,91.2,90.8,5.77,207.1,23.728,34.11,52041.7,0.13,0.27,33827,0.73,0,1.174,8.2,-95.4,29.374,16.792,-14.64706,145.4473,4.5,0,12,757.9
20/3/2024,9:35:33,0,<None>,0.04,0.14,56321.2,15.736,0.37,0.13,51499.1,91.2,90.8,5.77,207.2,22.857,34.07,51977.4,0.12,0.25,33785,0.68,0,1.174,8.21,-95.4,29.376,15.853,-14.64706,145.4474,4.6,0,12,758
20/3/2024,9:35:34,0,<None>,0.04,0.14,56231.9,15.493,0.4,0.14,51415.6,91.2,90.9,5.78,207.2,22.504,34,51893.3,0.11,0.23,33731,0.64,0,1.174,8.21,-95.4,29.377,15.208,-14.64706,145.4474,4.7,0,12,758
20/3/2024,9:35:35,0,<None>,0.04,0.17,56138.1,14.146,0.35,0.12,51329.3,91.3,90.9,5.79,207.3,20.546,33.94,51806.2,0.09,0.17,33674,0.61,0,1.174,8.21,-95.5,29.378,14.559,-14.64705,145.4474,4.7,0,12,758
20/3/2024,9:35:36,0,<None>,0.05,0.17,56001.1,13.81,0.34,0.12,51206,91.4,91.1,5.8,207.3,20.056,33.85,51681.6,0.11,0.21,33593,0.58,0,1.174,8.21,-95.5,29.375,14.104,-14.64705,145.4473,4.6,0,12,757.9
20/3/2024,9:35:37,0,<None>,0.05,0.19,55841.8,12.898,0.23,0.08,51066.5,91.6,91.2,5.81,207.3,18.73,33.74,51540.1,0.12,0.27,33501,0.55,0,1.174,8.21,-95.6,29.37,13.353,-14.64705,145.4473,4.8,0,12,758
20/3/2024,9:35:38,0,<None>,0.05,0.18,55688.3,12.095,0.08,0.03,50934.4,91.8,91.4,5.83,207.3,17.564,33.65,51405.8,0.13,0.29,33414,0.54,0,1.174,8.21,-95.6,29.36,12.36,-14.64705,145.4473,4.7,0,12.1,757.9
20/3/2024,9:35:39,0,<None>,0.04,0.16,55505.8,11.743,-0.08,-0.02,50779.3,92,91.6,5.84,207.3,17.051,33.53,51247.9,0.14,0.3,33311,0.53,0,1.174,8.21,-95.7,29.35,11.429,-14.64705,145.4473,4.8,0,12.1,757.9
20/3/2024,9:35:40,0,<None>,0.04,0.15,55340.9,10.333,-0.2,-0.06,50640.3,92.2,91.9,5.86,207.4,15.002,33.43,51106.3,0.15,0.33,33219,0.52,0,1.174,8.21,-95.7,29.336,10.7,-14.64705,145.4473,4.9,0,12.1,758
20/3/2024,9:35:41,0,<None>,0.05,0.19,55151.5,9.33,-0.3,-0.09,50481.5,92.5,92.1,5.88,207.4,13.544,33.31,50944.4,0.16,0.36,33114,0.51,0,1.174,8.21,-95.8,29.324,9.727,-14.64705,145.4473,5.1,0,12.1,757.9
20/3/2024,9:35:42,0,<None>,0.05,0.21,54985.1,8.574,-0.34,-0.11,50342.3,92.7,92.3,5.9,207.4,12.447,33.21,50802.4,0.15,0.34,33022,0.49,0,1.174,8.21,-95.8,29.309,8.968,-14.64705,145.4473,5.1,0,12.1,758
20/3/2024,9:35:43,0,<None>,0.05,0.21,54795.8,7.613,-0.39,-0.13,50183.4,93,92.6,5.92,207.4,11.051,33.09,50640.4,0.15,0.32,32916,0.45,0,1.174,8.21,-95.9,29.296,8.157,-14.64705,145.4473,5.4,0,12.1,757.9
20/3/2024,9:35:44,0,<None>,0.05,0.19,54648.3,6.748,-0.42,-0.13,50060.7,93.3,92.9,5.95,207.5,9.794,33,50515.3,0.14,0.3,32835,0.43,0,1.174,8.21,-95.9,29.282,7.162,-14.64704,145.4474,5.7,0,12.1,757.9
20/3/2024,9:35:45,0,<None>,0.05,0.19,54519.3,6.258,-0.44,-0.14,49957.5,93.6,93.2,5.97,207.5,9.082,32.92,50409.3,0.13,0.29,32766,0.4,0,1.174,8.22,-96,29.269,6.635,-14.64704,145.4474,5.7,0,12.1,758
20/3/2024,9:35:46,0,<None>,0.05,0.19,54426.6,5.355,-0.43,-0.14,49885.7,93.9,93.5,5.99,207.6,7.772,32.86,50335.5,0.13,0.29,32718,0.38,0,1.174,8.22,-96,29.254,5.768,-14.64704,145.4474,5.7,0,12.1,758
20/3/2024,9:35:47,0,<None>,0.05,0.18,54336.1,5.037,-0.42,-0.13,49815.3,94.2,93.8,6.02,207.6,7.309,32.81,50263,0.14,0.31,32671,0.37,0,1.174,8.22,-96.1,29.243,4.719,-14.64704,145.4474,5.6,0,12.1,758
20/3/2024,9:35:48,0,<None>,0.04,0.16,54281.5,3.684,-0.41,-0.13,49771.6,94.5,94.1,6.04,207.7,5.346,32.78,50218.2,0.13,0.29,32642,0.37,0,1.174,8.22,-96.2,29.236,4.082,-14.64704,145.4474,5.6,0,12.1,758
20/3/2024,9:35:49,0,<None>,0.04,0.16,54244.2,2.933,-0.4,-0.13,49739.5,94.8,94.4,6.06,207.7,4.257,32.76,50185.5,0.11,0.22,32621,0.37,0,1.174,8.22,-96.2,29.234,3.187,-14.64704,145.4474,5.2,0,12.1,758
20/3/2024,9:35:50,0,<None>,0.04,0.14,54227.4,2.253,-0.38,-0.12,49722.3,95.1,94.7,6.08,207.7,3.27,32.74,50168.4,0.12,0.24,32609,0.38,0,1.174,8.22,-96.3,29.237,2.639,-14.64703,145.4474,5.4,0,12.1,758
20/3/2024,9:35:51,0,<None>,0.04,0.14,54216.2,1.965,-0.38,-0.12,49706.3,95.4,95,6.1,207.8,2.852,32.73,50152.9,0.12,0.24,32599,0.38,0,1.174,8.22,-96.4,29.242,1.76,-14.64703,145.4474,5.3,0,12.1,758
20/3/2024,9:35:52,0,<None>,0.03,0.12,54211.7,0.863,-0.37,-0.12,49694.4,95.7,95.3,6.12,207.8,1.253,32.72,50141.8,0.1,0.21,32592,0.39,0,1.174,8.22,-96.4,29.251,1.198,-14.64703,145.4473,5.1,0,12.1,758
20/3/2024,9:35:53,0,<None>,0.03,0.1,54211.8,0.182,-0.37,-0.12,49682.6,96,95.6,6.14,207.8,0.264,32.72,50131.3,0.1,0.19,32585,0.38,0,1.174,8.22,-96.5,29.262,0.475,-14.64703,145.4473,5.3,0,12.1,758
20/3/2024,9:35:54,0,<None>,0.02,0.06,54216.2,0.198,-0.36,-0.11,49670.3,96.3,95.9,6.16,207.8,0.287,32.71,50120.6,0.1,0.21,32578,0.39,0,1.174,8.23,-96.6,29.278,0.247,-14.64703,145.4474,5.5,0,12.1,758
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.03,0.11,54201.2,1.916,-0.29,-0.09,49594.7,97.5,97.1,6.23,187.5,2.78,32.65,50051.4,0.09,0.18,32533,0.46,0,1.174,NA,-96.4,29.341,1.938,-14.64967,145.45,4.8,0,12,757.9
,,,STANDARD DEVIATION:,0,0.02,33.7,1.902,0.03,0.01,49.4,0.2,0.2,0.01,2.7,2.76,0.04,47.7,0.02,0.05,31,0.01,0,0,0,0,0.019,1.765,0,0.00001,0.4,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17E102873,17E102873,18C105282,23A104152,22L104463,22L104463,18C105282,22M100242,22M100242,22M100242,22J106095,23A104152,18C105282,18C105282,17E102873,17E102873,18C105282,23B100516,23B100516,22J100672,22J106095,22J106095,18C105282,23A104152,22F105968,22F105968,22F105968,22F105968,22F105968,22F105968
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
20/3/2024,9:38:10,0,<None>,0.03,0.11,54158.4,0.119,-0.24,-0.07,49532.8,97.8,97.4,6.24,182.5,0.173,32.61,49991.5,0.08,0.14,32494,0.45,0,1.174,8.22,-96.3,29.364,0.326,-14.64967,145.45,5.3,0,12.1,758
20/3/2024,9:38:11,0,<None>,0.03,0.12,54159.4,0.129,-0.28,-0.09,49534.4,97.8,97.4,6.24,183.2,0.187,32.61,49993.1,0.08,0.13,32495,0.44,0,1.174,8.22,-96.3,29.363,0.344,-14.64967,145.45,5.5,0,12.1,757.8
20/3/2024,9:38:12,0,<None>,0.04,0.14,54160.7,0.137,-0.31,-0.1,49535.9,97.8,97.4,6.24,183.9,0.199,32.61,49994.5,0.07,0.11,32496,0.46,0,1.174,8.22,-96.3,29.363,0.307,-14.64967,145.45,5.6,0,12.1,758
20/3/2024,9:38:13,0,<None>,0.04,0.16,54162,0.149,-0.3,-0.1,49537.4,97.7,97.3,6.24,184.6,0.217,32.61,49996,0.07,0.12,32497,0.47,0,1.174,8.22,-96.3,29.363,0.539,-14.64967,145.45,5.1,0,12.1,758
20/3/2024,9:38:14,0,<None>,0.04,0.14,54164.2,1.932,-0.3,-0.09,49540.5,97.7,97.3,6.24,185.2,2.804,32.62,49999,0.08,0.14,32499,0.46,0,1.174,8.22,-96.3,29.362,1.418,-14.64967,145.45,5.1,0,12.1,757.9
20/3/2024,9:38:15,0,<None>,0.04,0.14,54168.8,2.802,-0.3,-0.09,49546.2,97.7,97.3,6.24,185.8,4.066,32.62,50004.6,0.07,0.12,32503,0.45,0,1.174,8.22,-96.3,29.36,2.314,-14.64967,145.45,5.1,0,12.1,758
20/3/2024,9:38:16,0,<None>,0.03,0.11,54173.3,4.096,-0.3,-0.09,49554.6,97.6,97.2,6.23,186.4,5.944,32.63,50012.6,0.08,0.15,32508,0.45,0,1.174,8.22,-96.3,29.356,3.461,-14.64967,145.45,4.9,0,12.1,757.9
20/3/2024,9:38:17,0,<None>,0.03,0.1,54180.5,5.696,-0.29,-0.09,49566.7,97.6,97.2,6.23,186.9,8.265,32.63,50024.2,0.08,0.14,32516,0.45,0,1.174,8.22,-96.4,29.35,5.04,-14.64967,145.45,4.9,0,12.1,758
20/3/2024,9:38:18,0,<None>,0.03,0.11,54196.7,4.957,-0.26,-0.08,49586.7,97.5,97.1,6.23,187.5,7.192,32.65,50043.7,0.08,0.15,32528,0.46,0,1.174,8.22,-96.4,29.344,5.17,-14.64967,145.45,4.8,0,12.1,758
20/3/2024,9:38:19,0,<None>,0.03,0.12,54213.2,4.342,-0.23,-0.07,49607.6,97.5,97.1,6.23,188,6.301,32.66,50064.2,0.08,0.15,32542,0.46,0,1.174,8.22,-96.4,29.339,4.68,-14.64966,145.45,4.7,0,12,758
20/3/2024,9:38:20,0,<None>,0.03,0.1,54221.8,3.495,-0.25,-0.08,49620.1,97.4,97,6.22,188.5,5.071,32.67,50076.3,0.08,0.14,32550,0.46,0,1.174,8.22,-96.4,29.334,3.755,-14.64966,145.45,4.6,0,12,757.9
20/3/2024,9:38:21,0,<None>,0.03,0.1,54226.9,3.19,-0.27,-0.09,49630.4,97.4,97,6.22,189,4.629,32.68,50086.1,0.1,0.21,32556,0.46,0,1.174,8.22,-96.4,29.328,2.897,-14.64966,145.45,4.7,0,12,757.8
20/3/2024,9:38:22,0,<None>,0.03,0.12,54231,1.777,-0.3,-0.09,49638.7,97.3,96.9,6.22,189.5,2.579,32.69,50093.9,0.12,0.24,32561,0.47,0,1.174,8.22,-96.4,29.323,2.145,-14.64966,145.45,4.6,0,12,757.9
20/3/2024,9:38:23,0,<None>,0.03,0.1,54236,1.111,-0.31,-0.1,49647.6,97.3,96.9,6.21,189.9,1.611,32.69,50102.4,0.12,0.26,32567,0.47,0,1.174,8.22,-96.4,29.32,1.446,-14.64966,145.45,4.6,0,12,757.9
20/3/2024,9:38:24,0,<None>,0.02,0.08,54240.2,0.275,-0.31,-0.1,49653.8,97.3,96.9,6.21,190.4,0.4,32.7,50108.3,0.13,0.27,32570,0.47,0,1.174,8.22,-96.4,29.317,0.672,-14.64966,145.45,4.6,0,12,757.9
20/3/2024,9:38:25,0,<None>,0.03,0.09,54242.5,0.107,-0.32,-0.1,49657.7,97.3,96.9,6.21,190.8,0.155,32.7,50112.2,0.12,0.26,32573,0.46,0,1.174,8.22,-96.4,29.315,0.162,-14.64966,145.45,4.3,0,12,757.9
20/3/2024,9:38:26,0,<None>,0.03,0.1,54243.2,0.083,-0.32,-0.1,49658.2,97.3,96.9,6.22,191.2,0.121,32.7,50112.6,0.11,0.22,32573,0.46,0,1.174,8.22,-96.4,29.316,0.109,-14.64966,145.45,4.3,0,12,757.9
20/3/2024,9:38:27,0,<None>,0.03,0.12,54242.6,0.085,-0.32,-0.1,49655.2,97.4,97,6.22,191.6,0.124,32.7,50109.8,0.1,0.19,32571,0.45,0,1.174,8.22,-96.4,29.318,0.099,-14.64966,145.45,4.3,0,12,758
